Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 20.70      0.06     0.06 16644949     0.00     0.00  pcl::PointXYZI* std::__addressof<pcl::PointXYZI>(pcl::PointXYZI&)
 13.80      0.10     0.04 16644951     0.00     0.00  decltype (({parm#1}.destroy)({parm#2})) std::allocator_traits<Eigen::aligned_allocator<pcl::PointXYZI> >::_S_destroy<Eigen::aligned_allocator<pcl::PointXYZI>, pcl::PointXYZI>(Eigen::aligned_allocator<pcl::PointXYZI>&, pcl::PointXYZI*, int)
 13.80      0.14     0.04 16644951     0.00     0.00  void std::allocator_traits<Eigen::aligned_allocator<pcl::PointXYZI> >::destroy<pcl::PointXYZI>(Eigen::aligned_allocator<pcl::PointXYZI>&, pcl::PointXYZI*)
 13.80      0.18     0.04     7349     0.01     0.03  void std::_Destroy<pcl::PointXYZI*, Eigen::aligned_allocator<pcl::PointXYZI> >(pcl::PointXYZI*, pcl::PointXYZI*, Eigen::aligned_allocator<pcl::PointXYZI>&)
  6.90      0.20     0.02  6203422     0.00     0.00  pcl::PointXYZ* std::__addressof<pcl::PointXYZ>(pcl::PointXYZ&)
  6.90      0.22     0.02    44187     0.00     0.00  Eigen::aligned_allocator<pcl::PointXYZI>::deallocate(pcl::PointXYZI*, unsigned long)
  6.90      0.24     0.02      230     0.09     0.22  void std::_Destroy<pcl::PointXYZ*, Eigen::aligned_allocator<pcl::PointXYZ> >(pcl::PointXYZ*, pcl::PointXYZ*, Eigen::aligned_allocator<pcl::PointXYZ>&)
  3.45      0.25     0.01 16644949     0.00     0.00  void __gnu_cxx::new_allocator<pcl::PointXYZI>::destroy<pcl::PointXYZI>(pcl::PointXYZI*)
  3.45      0.26     0.01  6203422     0.00     0.00  void __gnu_cxx::new_allocator<pcl::PointXYZ>::destroy<pcl::PointXYZ>(pcl::PointXYZ*)
  3.45      0.27     0.01    48081     0.00     0.00  Eigen::internal::handmade_aligned_free(void*)
  3.45      0.28     0.01     7349     0.00     0.01  std::_Vector_base<pcl::PointXYZI, Eigen::aligned_allocator<pcl::PointXYZI> >::_M_deallocate(pcl::PointXYZI*, unsigned long)
  3.45      0.29     0.01     7349     0.00     0.00  std::_Vector_base<pcl::PointXYZI, Eigen::aligned_allocator<pcl::PointXYZI> >::_M_get_Tp_allocator()
  0.00      0.29     0.00  6203422     0.00     0.00  decltype (({parm#1}.destroy)({parm#2})) std::allocator_traits<Eigen::aligned_allocator<pcl::PointXYZ> >::_S_destroy<Eigen::aligned_allocator<pcl::PointXYZ>, pcl::PointXYZ>(Eigen::aligned_allocator<pcl::PointXYZ>&, pcl::PointXYZ*, int)
